"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.018177625E0,-5.685506854E-3,1.191573869E-2,-1.001794729E-2
2.028200625E0,-7.555598393E-3,9.867349640E-3,-1.272602193E-2
2.038222625E0,-3.929970786E-3,1.018729992E-3,-1.327596419E-2
2.048244625E0,-7.714421023E-3,1.562317833E-3,-1.245550811E-2
2.058266625E0,-1.108651608E-2,4.751186818E-3,-1.251196675E-2
2.068288625E0,-1.056540571E-2,8.564226329E-3,-9.191679768E-3
2.078310625E0,-1.273104106E-3,8.729342371E-3,-1.727372291E-3
2.088332625E0,8.593001985E-4,1.593574136E-2,4.431611393E-3
2.098354625E0,6.915328559E-3,1.311838347E-2,4.532012623E-3
2.108376625E0,5.150451791E-3,5.018911324E-3,3.197502578E-3
2.118398625E0,2.729904605E-3,-7.193546742E-3,4.204443656E-3
2.128420625E0,-2.644269029E-3,-1.359476056E-2,4.534980748E-3
2.138442625E0,-1.257333253E-2,-1.572955027E-2,3.687296761E-3
2.148464625E0,-2.844163589E-2,-8.419439197E-3,-9.874681709E-4
2.158486625E0,-3.488701954E-2,2.510973252E-3,-4.526010249E-3
2.168508625E0,-3.689076006E-2,1.470121276E-2,-3.174016718E-3
2.178530625E0,-3.326113895E-2,1.351930294E-2,-4.758330993E-3
2.188552625E0,-2.783341706E-2,9.408907034E-3,-6.688992493E-3
2.198574625E0,-2.382376231E-2,5.452248268E-3,-6.422676146E-3
2.208596625E0,-2.052624896E-2,4.528926685E-3,-9.939404204E-3
2.218618625E0,-2.619185671E-2,-4.548724275E-3,-1.132664457E-2
2.228640625E0,-3.359484673E-2,-7.454039529E-3,-7.292218972E-3
2.238662625E0,-3.617811203E-2,3.865733743E-4,-4.649297800E-3
2.248684625E0,-2.855584770E-2,1.051088143E-2,-1.928283484E-3
2.258706625E0,-2.070937492E-2,1.849770173E-2,1.199536782E-4
2.268728625E0,-1.727730036E-2,1.725845784E-2,1.056040172E-3
2.278750625E0,-1.215737313E-2,9.814388119E-3,4.150100984E-3
2.288772625E0,-1.272224262E-2,4.356090911E-3,3.097725101E-3
2.298794625E0,-1.824031211E-2,3.860742785E-3,3.780559637E-3
2.308816625E0,-2.539533563E-2,-6.269896403E-4,3.696721513E-3
2.318838625E0,-3.807144985E-2,1.682303846E-4,3.172344994E-3
2.328861625E0,-5.155834183E-2,5.914420821E-3,-1.483349828E-3
2.338883625E0,-6.160937622E-2,1.498754416E-2,-4.670887254E-3
2.348905625E0,-6.464291364E-2,1.485898811E-2,-6.141074002E-3
2.358927625E0,-5.556499213E-2,8.439970203E-3,-7.368790917E-3
2.368949625E0,-4.325397313E-2,4.412094131E-3,-9.794218466E-3
2.378971625E0,-3.269880265E-2,-4.465766251E-4,-6.206408143E-3
2.388993625E0,-2.913894132E-2,5.470050499E-3,-7.919720374E-3
2.399015625E0,-2.165945433E-2,5.331033841E-3,-9.154628962E-3
2.409037625E0,-2.087815292E-2,2.145019360E-3,-9.715637192E-3
2.419059625E0,-2.656772919E-2,-3.986110445E-3,-5.566964392E-3
2.429081625E0,-3.285439685E-2,-7.581911981E-3,-1.072358107E-3
2.439103625E0,-3.148606420E-2,-1.138623804E-2,2.701873891E-3
2.449125625E0,-2.935296111E-2,-1.215744857E-2,4.565772135E-3
2.459147625E0,-2.785093710E-2,-2.249797061E-2,-3.001333913E-3
2.469169625E0,-3.203988075E-2,-2.634216845E-2,-9.203552268E-3
2.479191625E0,-3.703543916E-2,-1.844616234E-2,-7.980895229E-3
2.489213625E0,-3.853177279E-2,-1.095356420E-4,-8.946496993E-3
2.499235625E0,-2.850736864E-2,2.210255899E-2,-7.356856950E-3
2.509257625E0,-2.484164387E-2,3.653464466E-2,-3.633190878E-3
2.519279625E0,-1.715895720E-2,2.604259178E-2,-2.826519310E-3
2.529301625E0,-1.569094509E-2,5.758968182E-3,-4.407482687E-3
2.539324042E0,-2.091473527E-2,-1.931176335E-2,-1.020518411E-2
2.549346042E0,-2.633910067E-2,-3.543218225E-2,-1.010352839E-2
2.559368042E0,-2.726641297E-2,-3.228645772E-2,-1.700857282E-2
2.569390042E0,-2.692255937E-2,-1.607442647E-2,-1.833714731E-2
2.579412042E0,-2.118211612E-2,3.071838059E-3,-1.591446996E-2
2.589434042E0,-1.799024083E-2,8.712490089E-3,-1.251239330E-2
2.599457042E0,-1.896495931E-2,2.042602748E-3,-7.480617147E-3
2.609479042E0,-1.861738227E-2,-2.522818744E-3,-3.484210465E-3
2.619501042E0,-1.368760504E-2,4.365979694E-3,3.371565137E-3
2.629523042E0,-9.929697961E-3,1.348009333E-3,1.756732585E-3
2.639545042E0,-1.707842201E-2,-7.480368949E-3,1.577235409E-3
2.649567042E0,-3.040044196E-2,-1.374408510E-2,5.089956103E-4
2.659589042E0,-4.124936089E-2,-1.889556646E-3,3.505051835E-3
2.669611042E0,-4.027340934E-2,3.807514906E-3,5.339640658E-3
2.679633042E0,-3.079441935E-2,-5.672592670E-4,2.998189768E-3
2.689655042E0,-2.652822435E-2,-3.273752984E-3,3.926990554E-3
2.699677042E0,-2.204266191E-2,-4.886829294E-3,-2.431039931E-3
2.709699042E0,-1.859299093E-2,-6.721670274E-3,-7.336427458E-3
2.719721042E0,-2.246735804E-2,-7.987470366E-3,-5.639727227E-3
2.729743042E0,-2.107536234E-2,1.731697470E-3,-1.061564777E-3
2.739765042E0,-2.391029708E-2,2.361702174E-2,-4.220340401E-3
2.749787042E0,-7.234135177E-3,2.394097298E-2,-5.328919739E-3
2.759809042E0,6.077142898E-3,1.394586544E-2,-3.747534705E-3
2.769831042E0,1.457756851E-2,1.156648155E-2,-1.909655984E-3
2.779853042E0,1.380871329E-2,1.548745390E-2,-8.223478682E-3
2.789875042E0,8.267267607E-3,9.591938928E-3,-1.091861259E-2
2.799897042E0,-8.044860326E-3,3.241632134E-3,-1.232156530E-2
2.809919042E0,-2.953784354E-2,-1.338814385E-3,-6.769157015E-3
2.819941042E0,-4.440999776E-2,2.380556427E-3,-5.140634254E-3
2.829963042E0,-4.599284753E-2,1.772462577E-2,-7.785282563E-3
2.839985042E0,-3.164453432E-2,1.692807674E-2,-1.067720912E-2
2.850008042E0,-2.362408675E-2,9.881425649E-3,-8.752130903E-3
2.860030042E0,-1.032585744E-2,6.535429507E-3,-6.792310625E-3
2.870052042E0,-3.571810434E-3,-2.950746566E-3,-8.496460505E-3
2.880074042E0,-3.163814079E-3,-1.635017619E-2,-9.300734848E-3
2.890096042E0,-1.334889047E-2,-2.096684463E-2,-6.000177469E-3
2.900118042E0,-2.015672810E-2,-1.789435558E-2,1.171715092E-3
2.910140042E0,-2.905516885E-2,-1.650460437E-2,2.998898854E-4
2.920162042E0,-2.154798433E-2,-1.781940646E-2,-3.192313015E-3
2.930184042E0,-1.499696355E-2,-2.067507431E-2,-2.478632843E-3
2.940206042E0,-1.179983933E-2,-1.702760905E-2,-1.213897602E-3
2.950228042E0,-1.117126364E-2,-1.461204793E-2,-8.457709919E-5
2.960250042E0,-1.411991473E-2,-1.787788235E-2,1.588358136E-4
2.970272042E0,-1.761932112E-2,-2.027114853E-2,-1.036442118E-4
2.980294042E0,-2.004838921E-2,-1.729400083E-2,4.728395026E-3
2.990316042E0,-1.897888258E-2,-9.551545605E-3,3.922086209E-3
3.000338042E0,-1.182403509E-2,-4.928031005E-3,2.494099084E-3
3.010360042E0,-2.934461692E-3,-6.370058283E-3,9.625318926E-4
3.020382042E0,2.014490543E-3,-9.013245814E-3,-2.394915326E-3
3.030404042E0,2.082982799E-3,-9.555011056E-3,-3.892977023E-3
3.040426042E0,-3.198864404E-3,-4.150924273E-3,-2.274574013E-3
3.050448042E0,-1.405276451E-2,-3.335653339E-3,-1.169885072E-4
3.060470042E0,-1.132009458E-2,-2.065326087E-3,-4.249681719E-3
3.070492042E0,-1.209554262E-2,-4.756790120E-3,-9.028997272E-3
3.080514042E0,-1.111363526E-2,-1.398650743E-2,-6.092329975E-3
3.090536042E0,-1.046102867E-2,-7.794391364E-3,-7.154000923E-3
3.100559042E0,-7.733420003E-3,-4.076352343E-3,-2.214635955E-3
3.110581042E0,-8.673564531E-3,-1.455685124E-4,5.582736805E-3
3.120603042E0,-6.683650892E-3,6.454011425E-3,5.063420627E-3
3.130625042E0,-9.489463991E-4,1.127005555E-3,2.588783158E-3
3.140647042E0,3.960058093E-3,-3.523406573E-3,6.500434130E-3
3.150669042E0,1.140943263E-2,-4.830637481E-3,1.323609031E-3
3.160691042E0,1.815948077E-2,1.580390148E-3,-3.556367476E-3
3.170713042E0,2.530597337E-2,1.232761331E-2,-2.044290304E-3
3.180735042E0,2.573953569E-2,2.951458842E-2,3.201604355E-3
